t,i1,q1,q2,i2,p
431,0,0,0,0,4096
432,0,0,0,0,4096
433,0,0,0,0,4096
434,0,0,0,0,4096
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,4096
441,0,0,0,0,4096
442,0,0,0,0,4096
443,0,0,0,0,4096
444,0,0,0,0,4096
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,4096
451,0,0,0,0,4096
452,0,0,0,0,4096
453,0,0,0,0,4096
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,4096
461,0,0,0,0,4096
462,0,0,0,0,4096
463,0,0,0,0,4096
464,0,0,0,0,0
465,0,0,0,0,0
466,0,0,0,0,0
467,0,0,0,0,0
468,0,0,0,0,0
469,0,0,0,0,4096
470,0,0,0,0,4096
471,0,0,0,0,4096
472,0,0,0,0,4096
473,0,0,0,0,4096
474,0,0,0,0,0
475,0,0,0,0,0
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,4096
480,0,0,0,0,4096
481,0,0,0,0,4096
482,0,0,0,0,4096
483,0,0,0,0,4096
484,0,0,0,0,4096
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
490,0,0,0,0,4096
491,0,0,0,0,4096
492,0,0,0,0,4096
493,0,0,0,0,4096
494,0,0,0,0,4096
495,0,0,0,0,0
496,0,0,0,0,0
497,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,4096
500,0,0,0,0,4096
501,0,0,0,0,4096
502,0,0,0,0,4096
503,0,0,0,0,4096
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,4096
510,0,0,0,0,4096
511,0,0,0,0,4096
512,0,0,0,0,4096
513,0,0,0,0,4096
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,0,0
517,0,0,0,0,0
518,0,0,0,0,0
519,0,0,0,0,4096
520,0,0,0,0,4096
521,0,0,0,0,4096
522,0,0,0,0,4096
523,0,0,0,0,4096
524,0,0,0,0,0
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,0
529,0,0,0,0,4096
530,0,0,0,0,4096
531,0,0,0,0,4096
532,0,0,0,0,4096
533,0,0,0,0,4096
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,0,0,0
539,0,0,0,0,4096
540,0,0,0,0,4096
541,0,0,0,0,4096
542,0,0,0,0,4096
543,0,0,0,0,4096
544,0,0,0,0,0
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,4096
550,0,0,0,0,4096
551,0,0,0,0,4096
552,0,0,0,0,4096
553,0,0,0,0,4096
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,4096
559,0,0,0,0,4096
560,0,0,0,0,4096
561,0,0,0,0,4096
562,0,0,0,0,4096
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,4096
569,0,0,0,0,4096
570,0,0,0,0,4096
571,0,0,0,0,4096
572,0,0,0,0,4096
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,0,0,0,0,0
577,0,0,0,0,0
578,0,0,0,0,0
579,0,0,0,0,4096
580,0,0,0,0,4096
581,0,0,0,0,4096
582,0,0,0,0,4096
583,0,0,0,0,4096
584,0,0,0,0,0
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,4096
589,0,0,0,0,4096
590,0,0,0,0,4096
591,0,0,0,0,4096
592,0,0,0,0,4096
593,0,0,0,0,0
594,0,0,0,0,0
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,4096
599,0,0,0,0,4096
600,0,0,0,0,4096
601,0,0,0,0,4096
602,0,0,0,0,4096
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,4096
609,0,0,0,0,4096
610,0,0,0,0,4096
611,0,0,0,0,4096
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,4096
618,0,0,0,0,4096
619,0,0,0,0,4096
620,0,0,0,0,4096
621,0,0,0,0,4096
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,0
627,0,0,0,0,4096
628,0,0,0,0,4096
629,0,0,0,0,4096
630,0,0,0,0,4096
631,0,0,0,0,4096
632,0,0,0,0,0
633,0,0,0,0,0
634,0,0,0,0,0
635,0,0,0,0,0
636,0,0,0,0,0
637,0,0,0,0,4096
638,0,0,0,0,4096
639,0,0,0,0,4096
640,0,0,0,0,4096
641,0,0,0,0,4096
642,0,0,0,0,0
643,0,0,0,0,0
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,0
647,0,0,0,0,4096
648,0,0,0,0,4096
649,0,0,0,0,4096
650,0,0,0,0,4096
651,0,0,0,0,4096
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,0,0,0,0,0
656,0,0,0,0,4096
657,0,0,0,0,4096
658,0,0,0,0,4096
659,0,0,0,0,4096
660,0,0,0,0,4096
661,0,0,0,0,4096
662,0,13,0,0,0
663,0,182,0,0,0
664,0,0,0,0,0
665,0,160,0,0,0
666,0,221,0,0,4096
667,0,0,0,0,4096
668,0,0,0,0,4096
669,0,0,0,0,4096
670,0,0,0,0,4096
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,0,0,0,0,0
675,0,151,0,0,0
676,0,99,0,0,4096
677,0,0,0,0,4096
678,0,0,0,0,4096
679,0,0,0,0,4096
680,0,0,0,0,4096
681,0,0,0,0,0
682,0,0,0,0,0
683,0,0,0,0,0
